PostCode,Response
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2584,1
2587,1
2584,1
2584,1
2581,1
2581,1
2581,1
2587,1
2587,1
2581,1
2581,1
2584,1
2584,1
2584,1
2587,1
2587,1
2587,1
2587,1
2581,1
2581,1
2587,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2584,1
2581,1
2587,1
2581,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2584,1
2584,1
2587,1
2587,1
2587,1
2581,1
2581,1
2587,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2584,1
2584,1
2584,1
2584,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2587,1
2587,1
2587,1
2587,1
2584,1
2584,1
2584,1
2581,1
2581,1
2581,1
2581,1
2581,1
2081,1
2587,1
2584,1
2584,1
2584,1
2584,1
2584,1
2081,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2584,1
2587,1
2584,1
2584,1
2584,1
2581,1
2581,1
2581,1
2584,1
2581,1
2581,1
2081,1
2584,1
2584,1
2584,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2584,1
2584,1
2584,1
2581,1
2581,1
2584,1
2584,1
2587,1
2584,1
2581,1
2584,1
2587,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2581,1
2584,1
2584,1
2584,1
2584,1
2584,1
2581,1
2584,1
2587,1
2581,1
2584,1
2584,1
2584,1
2587,1
2587,1
2587,1
2584,1
2584,1
2584,1
2081,1
2081,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2584,1
2584,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2584,1
2581,1
2584,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2587,1
2587,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2581,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2584,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2586,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2584,1
2584,1
2587,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2581,1
2584,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2586,1
2586,1
2586,1
2584,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2586,1
2587,1
2587,1
2581,1
2581,1
2584,1
2584,1
2581,1
2581,1
2581,1
2584,1
2584,1
2581,1
2581,1
2581,1
2587,1
2587,1
2584,1
2584,1
2584,1
2586,1
2587,1
2587,1
2587,1
2584,1
2584,1
2584,1
2581,1
2581,1
2587,1
2581,1
2581,1
2581,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2584,1
2584,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2587,1
2587,1
2587,1
2581,1
2581,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2581,1
2587,1
2581,1
2581,1
2581,1
2587,1
2581,1
2581,1
2581,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2584,1
2586,1
2584,1
2581,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2581,1
2587,1
2587,1
2587,1
2581,1
2581,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2581,1
2581,1
2581,1
2581,1
2587,1
2581,1
2584,1
2581,1
2581,1
2581,1
2581,1
2581,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2587,1
2581,1
2587,1
2581,1
2587,1
2587,1
2587,1
